#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
17.1	1.31471659492777E-06	-0.0177179192676001	-0.248075000038812	-0.0896475952201488
17.2	1.19676007319098E-06	-0.0170650074358357	-0.245363772250869	-0.0947004733931079
17.3	1.08934980047892E-06	-0.0164348884599618	-0.242639781970023	-0.0997010894628039
17.4	9.91546563590958E-07	-0.0158268311867227	-0.239904801746378	-0.104647353876559
17.5	9.02494417468799E-07	-0.0152401245329041	-0.237160549401987	-0.109537265482881
17.6	8.21413343538507E-07	-0.0146740771222632	-0.234408688704678	-0.114368910511269
17.7	7.47592545814464E-07	-0.0141280169171575	-0.231650830071296	-0.119140461501507
17.8	6.80384339454666E-07	-0.0136012908459473	-0.228888531297856	-0.123850176185935
17.9	6.19198574548242E-07	-0.0130932644270926	-0.226123298314154	-0.128496396328084
18	5.63497550581909E-07	-0.0126033213908836	-0.223356585960518	-0.133077546520908
18.1	5.12791376086719E-07	-0.0121308632996048	-0.220589798784492	-0.137592132947794
18.2	4.66633738997156E-07	-0.0116753091669174	-0.217824291855333	-0.142038742109369
18.3	4.24618047161611E-07	-0.0112360950771724	-0.215061371594317	-0.146416039519026
18.4	3.86373909569525E-07	-0.0108126738053009	-0.212302296618904	-0.150722768370031
18.5	3.51563928212321E-07	-0.0104045144379159	-0.209548278598984	-0.154957748176886
18.6	3.19880771004999E-07	-0.0100111019961423	-0.206800483123427	-0.159119873393589
18.7	2.91044506287E-07	-0.00963193706073267	-0.204060030575318	-0.163208112011298
18.8	2.64800169361422E-07	-0.00926653539989335	-0.201327997014288	-0.167221504137828
18.9	2.40915544899534E-07	-0.00891442760028063	-0.198605415064473	-0.171159160561289
19	2.19179146176988E-07	-0.00857515870153931	-0.195893274806701	-0.175020261300104
19.1	1.99398371778837E-07	-0.00824828783474519	-0.193192524673558	-0.178804054141527
19.2	1.81397826759106E-07	-0.00793338786505977	-0.1905040723461	-0.182509853170723
19.3	1.65017791253012E-07	-0.00763004503889735	-0.187828785651013	-0.186137037292366
19.4	1.50112825928027E-07	-0.00733785863584198	-0.185167493457087	-0.189685048746606
19.5	1.36550498852535E-07	-0.00705644062556294	-0.182520986570012	-0.193153391621234
19.6	1.24210228434307E-07	-0.00678541532991993	-0.179890018624415	-0.196541630361695
19.7	1.12982225586332E-07	-0.00652441909042854	-0.177275306972305	-0.199849388280655
